sample_id,order,sample_cohort,Species,Site,Country,Region,Stage,sample_timing,kraken_bacteria,kraken_fungi,kraken_unclassified,Number_reads,Mh_genome_mapping,coverage_Mh_scaffold_1,meandepth_Mh_scaffold_1,data_concerns
Ascasubi_Argentina_1997_1,0,2,M_hyperodae,Ascasubi,Argentina,South_America,need to check,historic,2.06,0.15,85.43,23048525,92.96,98.2982,23.0556,
Ascasubi_Argentina_1997_2,1,2,M_hyperodae,Ascasubi,Argentina,South_America,need to check,historic,1.8,0.14,84.54,38823066,92.64,98.3908,39.2788,
Ascasubi_Argentina_1997_3,2,2,M_hyperodae,Ascasubi,Argentina,South_America,need to check,historic,1.82,0.15,86.21,33418573,93.28,98.3813,33.649,
Bariloche_Argentina_1996_1,3,2,M_hyperodae,Bariloche,Argentina,South_America,need to check,historic,2.01,0.14,83.24,25527900,91.36,97.0868,23.3255,
Bariloche_Argentina_1996_2,4,2,M_hyperodae,Bariloche,Argentina,South_America,need to check,historic,2.33,0.16,83.46,33375156,90.97,98.3852,30.9002,
Bariloche_Argentina_1996_3,5,2,M_hyperodae,Bariloche,Argentina,South_America,need to check,historic,1.51,0.12,86.95,26856309,92.38,96.0865,25.763,
Bariloche_Argentina_1996_4,6,2,M_hyperodae,Bariloche,Argentina,South_America,need to check,historic,2.97,0.34,87.5,15346125,95.87,97.6476,13.3326,
Bariloche_Argentina_1996_5,7,2,M_hyperodae,Bariloche,Argentina,South_America,need to check,historic,2.29,0.15,84.68,34547425,94.08,98.3444,33.0376,
Bariloche_Argentina_1996_6,8,2,M_hyperodae,Bariloche,Argentina,South_America,need to check,historic,2.59,0.14,80.66,34178556,92.62,98.1199,34.9374,
Bariloche_Argentina_1998_1,9,2,M_hyperodae,Bariloche,Argentina,South_America,need to check,historic,2.24,0.15,82.38,29752223,88.73,98.122,27.6387,
Bariloche_Argentina_1998_2,10,2,M_hyperodae,Bariloche,Argentina,South_America,need to check,historic,1.9,0.14,83.91,27866837,89.77,97.9596,25.9847,
Bariloche_Argentina_1998_3,11,2,M_hyperodae,Bariloche,Argentina,South_America,need to check,historic,1.7,0.13,86.41,19461827,92.4,98.2227,18.3728,
Bariloche_Argentina_1998_4,12,2,M_hyperodae,Bariloche,Argentina,South_America,need to check,historic,1.78,0.17,88.34,42693317,93.66,98.3312,40.9327,
Bariloche_Argentina_1998_5,13,2,M_hyperodae,Bariloche,Argentina,South_America,need to check,historic,2.17,0.16,81.62,24547281,85.39,94.6596,18.8042,
Featherston_1,14,2,M_hyperodae,Featherston,New_Zealand,New_Zealand,Pupa,contemporary,2.27,0.19,85.58,47426857,92.82,98.3913,51.7928,
Featherston_13,15,2,M_hyperodae,Featherston,New_Zealand,New_Zealand,Pupa,contemporary,1.18,0.14,89.6,29086086,91.74,95.5633,26.9889,
Featherston_15,16,2,M_hyperodae,Featherston,New_Zealand,New_Zealand,Pupa,contemporary,1.55,0.25,91.99,22562997,93.85,96.9473,21.5759,
Featherston_16,17,2,M_hyperodae,Featherston,New_Zealand,New_Zealand,Pupa,contemporary,0.93,0.16,85.05,36275516,92.11,95.9517,33.1539,
Featherston_17,18,2,M_hyperodae,Featherston,New_Zealand,New_Zealand,Pupa,contemporary,1.3,0.15,92.01,21357521,95.25,96.5241,19.8789,
Featherston_18,19,2,M_hyperodae,Featherston,New_Zealand,New_Zealand,Pupa,contemporary,1.32,0.17,91,22372389,94.72,95.1441,20.9806,
Featherston_19,20,2,M_hyperodae,Featherston,New_Zealand,New_Zealand,Pupa,contemporary,1.32,0.15,91.76,23419120,95.16,96.973,21.613,
Featherston_2,21,2,M_hyperodae,Featherston,New_Zealand,New_Zealand,Pupa,contemporary,22.75,0.15,70.08,33553577,70.96,97.7493,23.8072,"contamination (bacterial potentially, though mapping still decent)"
Featherston_20,22,2,M_hyperodae,Featherston,New_Zealand,New_Zealand,Pupa,contemporary,1.36,0.16,91.33,19978833,95.02,96.6534,19.1042,
Featherston_21,23,2,M_hyperodae,Featherston,New_Zealand,New_Zealand,Pupa,contemporary,1.26,0.16,91.87,18745434,94.86,96.6235,17.5658,
Featherston_22,24,2,M_hyperodae,Featherston,New_Zealand,New_Zealand,Pupa,contemporary,1.26,0.15,91.79,25614878,95.14,97.5133,23.7842,
Featherston_23,25,2,M_hyperodae,Featherston,New_Zealand,New_Zealand,Pupa,contemporary,1.22,0.15,84.96,24206441,90.33,97.8032,21.7132,
Featherston_24,26,2,M_hyperodae,Featherston,New_Zealand,New_Zealand,Pupa,contemporary,1.27,0.15,92.14,21236129,95.25,96.9969,19.9033,
Featherston_25,27,2,M_hyperodae,Featherston,New_Zealand,New_Zealand,Pupa,contemporary,1.18,0.15,91.43,22063807,94.05,97.1343,20.6637,
Featherston_26,28,2,M_hyperodae,Featherston,New_Zealand,New_Zealand,Pupa,contemporary,1.26,0.15,88.09,26937723,93.68,96.8714,25.8194,
